experiment,metric,attack,aggregator,ablation,heterogeneity,mean,std,n,sem,ci95
E4,mse_normalized,sign_flip,fedavg,,,0.0004807850353245158,0.0004576063694619717,10,0.00014470783993003508,0.0002836273662628688
E4,mse_normalized,sign_flip,krum,,,0.0001318530750722857,9.907507657574017e-05,10,3.133029013349346e-05,6.140736866164718e-05
E4,mse_normalized,sign_flip,trimmed_mean,,,0.00019943179322581272,0.00021539776062607692,10,6.811475264781391e-05,0.00013350491518971527
E4,mse_normalized,zero,coordinate_median,,,0.016396413166057756,0.04660202878565344,10,0.014736855454739562,0.02888423669128954
E4,mse_normalized,zero,fedavg,,,0.0001864655425379169,0.00019616536738723464,10,6.203293589873749e-05,0.00012158455436152547
E4,mse_normalized,zero,krum,,,0.00030345073937496634,0.000495989894384488,10,0.00015684577626813402,0.0003074177214855427
E4,mse_normalized,zero,trimmed_mean,,,0.00019879040664818603,0.00022256143254502462,10,7.03801046152203e-05,0.00013794500504583178
E5,mean_f1,,,,0.5,0.1487922444108563,0.05921182027755053,10,0.018724421648160308,0.036699866430394204
E5,mean_f1,,,,1.0,0.15495943880537752,0.06612257393840906,10,0.020909793839826284,0.040983195926059514
E5,mean_f1,,,,2.0,0.16583992471928533,0.06448914478191148,10,0.020393258186720286,0.03997078604597176
E5,worst_client_f1,,,,0.5,0.000751325921096682,0.001585062750914333,10,0.0005012408527181432,0.0009824320713275607
E5,worst_client_f1,,,,1.0,0.0007510638897500211,0.0015841652919315137,10,0.0005009570512689145,0.0009818758204870723
E5,worst_client_f1,,,,2.0,0.0011212395944599513,0.0018058773592909971,10,0.0005710685630289786,0.001119294383536798
E6,f1,bias_injection,,full_cross_modal,,0.07423854588476989,0.16123571516908208,10,0.05098721001004601,0.09993493161969018
E6,f1,bias_injection,,missing_current,,0.07257282347825014,0.15503244802736618,10,0.04902556469981554,0.09609010681163846
E6,f1,bias_injection,,missing_voltage,,0.08554228817537016,0.16793395348588208,10,0.05310537894921606,0.10408654274046347
E6,f1,bias_injection,,no_temporal_lag,,0.048351248063755424,0.07225596641334457,10,0.022849342840279625,0.04478471196694807
E6,f1,bias_injection,,single_modal_ar,,0.097116718799494,0.195818104143687,10,0.06192312161901065,0.12136931837326088
E6,f1,desynchronize_current,,full_cross_modal,,0.07134741181727758,0.15934954569052584,10,0.05039075084951303,0.09876587166504554
E6,f1,desynchronize_current,,missing_current,,0.06939218376999537,0.1564571337157532,10,0.04947608987233033,0.09697313614976744
E6,f1,desynchronize_current,,missing_voltage,,0.08529674382185046,0.16152705216046898,10,0.05107933885599036,0.10011550415774109
E6,f1,desynchronize_current,,no_temporal_lag,,0.036236542924651075,0.0664134523681809,10,0.02100177767585552,0.04116348424467682
E6,f1,desynchronize_current,,single_modal_ar,,0.09373955504216755,0.19703468424151258,10,0.06230783802552658,0.12212336253003209
E6,f1,gaussian_noise,,full_cross_modal,,0.43777359876523186,0.27457652117192854,10,0.08682871989087396,0.17018429098611296
E6,f1,gaussian_noise,,missing_current,,0.42065320491050634,0.26918874678911964,10,0.08512495603399556,0.1668449138266313
E6,f1,gaussian_noise,,missing_voltage,,0.4437679884174865,0.2523214211934755,10,0.07979103934220638,0.1563904371107245
E6,f1,gaussian_noise,,no_temporal_lag,,0.051716523244571676,0.07609688377255398,10,0.02406394755623771,0.047165337210225915
E6,f1,gaussian_noise,,single_modal_ar,,0.3680047353178341,0.2101267397266527,10,0.06644790948416093,0.13023790258895543
E6,macro_f1,macro,,full_cross_modal,,0.1944531854890931,0.16037921458703575,10,0.050716360744393375,0.09940406705901102
E6,macro_f1,macro,,missing_current,,0.1875394040529173,0.1590767306849691,10,0.050304479169769954,0.0985967791727491
E6,macro_f1,macro,,missing_voltage,,0.2048690068049024,0.16020271652469076,10,0.05066054715643172,0.09929467242660617
E6,macro_f1,macro,,no_temporal_lag,,0.045434771410992725,0.07043105501274202,10,0.022272255184888422,0.04365362016238131
E6,macro_f1,macro,,single_modal_ar,,0.1862870030531652,0.18128677100090287,10,0.05732791060202159,0.11236270477996231
E7,peak_mem_train_bytes,,,,,88333.2,23373.924920256286,10,7391.484060577942,14487.308758732766
E7,peak_mem_verify_bytes,,,,,97680.0,0.0,10,0.0,0.0
E7,train_time_s,,,,,0.07203471998218447,0.023297915141841395,10,0.007367447658154366,0.014440197409982557
E7,verification_to_local_training_time_ratio,,,,,0.01214885574457504,0.02791119418957419,10,0.008826294585431193,0.01729953738744514
E7,verify_time_s,,,,,0.0006864399882033467,0.001412681644857315,10,0.0004467291606462207,0.0008755891548665926
