experiment,seed,client,metric,value,attack,aggregator,heterogeneity,ablation
E2,42,8.0,f1,0.007312614259597806,bias_injection,,,
E2,42,8.0,precision,0.044444444444444446,bias_injection,,,
E2,42,8.0,recall,0.00398406374501992,bias_injection,,,
E2,42,8.0,fpr,0.086,bias_injection,,,
E2,42,8.0,f1,0.014571948998178506,desynchronize_current,,,
E2,42,8.0,precision,0.0851063829787234,desynchronize_current,,,
E2,42,8.0,recall,0.00796812749003984,desynchronize_current,,,
E2,42,8.0,fpr,0.086,desynchronize_current,,,
E2,42,9.0,f1,0.0,gaussian_noise,,,
E2,42,9.0,precision,0.0,gaussian_noise,,,
E2,42,9.0,recall,0.0,gaussian_noise,,,
E2,42,9.0,fpr,0.024,gaussian_noise,,,
E2,42,9.0,f1,0.0,bias_injection,,,
E2,42,9.0,precision,0.0,bias_injection,,,
E2,42,9.0,recall,0.0,bias_injection,,,
E2,42,9.0,fpr,0.024,bias_injection,,,
E2,42,9.0,f1,0.0,desynchronize_current,,,
E2,42,9.0,precision,0.0,desynchronize_current,,,
E2,42,9.0,recall,0.0,desynchronize_current,,,
E2,42,9.0,fpr,0.024,desynchronize_current,,,
E3,42,,clean_mse_normalized,2.038368438661564e-05,,,,
E3,42,,undefended_mse_normalized,3.850839493679814e-05,,,,
E3,42,,defended_mse_normalized,3.662246308522299e-05,,,,
E4,42,,mse_normalized,9.497471182839945e-05,sign_flip,fedavg,,
E4,42,,mse_normalized,1.168289873021422e-05,sign_flip,coordinate_median,,
E4,42,,mse_normalized,2.4449769625789486e-05,sign_flip,trimmed_mean,,
E4,42,,mse_normalized,1.0337942512705922e-05,sign_flip,krum,,
E4,42,,mse_normalized,1671.4560546875,scaling,fedavg,,
E4,42,,mse_normalized,1.068220899469452e-05,scaling,coordinate_median,,
E4,42,,mse_normalized,1.1314410585328005e-05,scaling,trimmed_mean,,
E4,42,,mse_normalized,1.0337942512705922e-05,scaling,krum,,
E4,42,,mse_normalized,0.0009947234066203237,additive_noise,fedavg,,
E4,42,,mse_normalized,9.845770364336204e-06,additive_noise,coordinate_median,,
E4,42,,mse_normalized,9.458071872359142e-06,additive_noise,trimmed_mean,,
E4,42,,mse_normalized,1.0337942512705922e-05,additive_noise,krum,,
E4,42,,mse_normalized,2.955232594104018e-05,zero,fedavg,,
E4,42,,mse_normalized,1.0385129826318007e-05,zero,coordinate_median,,
E4,42,,mse_normalized,2.2933643776923418e-05,zero,trimmed_mean,,
E4,42,,mse_normalized,1.0337942512705922e-05,zero,krum,,
E5,42,,mean_f1,0.0409002711977912,,,0.5,
E5,42,,worst_client_f1,0.0,,,0.5,
E5,42,,mean_f1,0.04324413131397223,,,1.0,
E5,42,,worst_client_f1,0.0,,,1.0,
E5,42,,mean_f1,0.047059545274909895,,,2.0,
E5,42,,worst_client_f1,0.0,,,2.0,
E6,42,,f1,0.0,gaussian_noise,,,full_cross_modal
E6,42,,f1,0.0,bias_injection,,,full_cross_modal
E6,42,,f1,0.0,desynchronize_current,,,full_cross_modal
E6,42,,macro_f1,0.0,macro,,,full_cross_modal
E6,42,,f1,0.0,gaussian_noise,,,no_temporal_lag
E6,42,,f1,0.0,bias_injection,,,no_temporal_lag
E6,42,,f1,0.0,desynchronize_current,,,no_temporal_lag
E6,42,,macro_f1,0.0,macro,,,no_temporal_lag
E6,42,,f1,0.011881188118811881,gaussian_noise,,,missing_voltage
E6,42,,f1,0.0,bias_injection,,,missing_voltage
E6,42,,f1,0.0,desynchronize_current,,,missing_voltage
E6,42,,macro_f1,0.0039603960396039604,macro,,,missing_voltage
E6,42,,f1,0.0,gaussian_noise,,,missing_current
E6,42,,f1,0.0,bias_injection,,,missing_current
E6,42,,f1,0.0,desynchronize_current,,,missing_current
E6,42,,macro_f1,0.0,macro,,,missing_current
E6,42,,f1,0.14760147601476015,gaussian_noise,,,single_modal_ar
E6,42,,f1,0.003976143141153081,bias_injection,,,single_modal_ar
E6,42,,f1,0.0,desynchronize_current,,,single_modal_ar
E6,42,,macro_f1,0.05052587305197107,macro,,,single_modal_ar
E7,42,,verify_time_s,0.004704199964180589,,,,
E7,42,,train_time_s,0.051369099877774715,,,,
E7,42,,verification_to_local_training_time_ratio,0.09157645306952131,,,,
E7,42,,peak_mem_verify_bytes,97680.0,,,,
E7,42,,peak_mem_train_bytes,154852.0,,,,
E1,101,0.0,fpr,0.08108108108108109,,,,
E1,101,1.0,fpr,0.5185185185185185,,,,
E1,101,2.0,fpr,0.18618618618618618,,,,
E1,101,3.0,fpr,0.04804804804804805,,,,
E1,101,4.0,fpr,0.005005005005005005,,,,
E1,101,5.0,fpr,0.05805805805805806,,,,
E1,101,6.0,fpr,0.001001001001001001,,,,
E1,101,7.0,fpr,0.13213213213213212,,,,
E1,101,8.0,fpr,0.5015015015015015,,,,
E1,101,9.0,fpr,0.0960960960960961,,,,
E2,101,0.0,f1,0.8306264501160093,gaussian_noise,,,
E2,101,0.0,precision,0.9944444444444445,gaussian_noise,,,
E2,101,0.0,recall,0.7131474103585658,gaussian_noise,,,
E2,101,0.0,fpr,0.004,gaussian_noise,,,
E2,101,0.0,f1,0.0039603960396039604,bias_injection,,,
E2,101,0.0,precision,0.3333333333333333,bias_injection,,,
E2,101,0.0,recall,0.00199203187250996,bias_injection,,,
E2,101,0.0,fpr,0.004,bias_injection,,,
E2,101,0.0,f1,0.0,desynchronize_current,,,
E2,101,0.0,precision,0.0,desynchronize_current,,,
E2,101,0.0,recall,0.0,desynchronize_current,,,
E2,101,0.0,fpr,0.004,desynchronize_current,,,
E2,101,1.0,f1,0.8058419243986253,gaussian_noise,,,
E2,101,1.0,precision,0.7084592145015106,gaussian_noise,,,
E2,101,1.0,recall,0.9342629482071713,gaussian_noise,,,
E2,101,1.0,fpr,0.386,gaussian_noise,,,
E2,101,1.0,f1,0.780701754385965,bias_injection,,,
E2,101,1.0,precision,0.6974921630094044,bias_injection,,,
E2,101,1.0,recall,0.8864541832669323,bias_injection,,,
E2,101,1.0,fpr,0.386,bias_injection,,,
E2,101,1.0,f1,0.6761904761904761,desynchronize_current,,,
E2,101,1.0,precision,0.6478102189781022,desynchronize_current,,,
E2,101,1.0,recall,0.7071713147410359,desynchronize_current,,,
E2,101,1.0,fpr,0.386,desynchronize_current,,,
E2,101,2.0,f1,0.39669421487603307,gaussian_noise,,,
E2,101,2.0,precision,0.48695652173913045,gaussian_noise,,,
E2,101,2.0,recall,0.3346613545816733,gaussian_noise,,,
E2,101,2.0,fpr,0.354,gaussian_noise,,,
E2,101,2.0,f1,0.10863509749303621,bias_injection,,,
E2,101,2.0,precision,0.18055555555555555,bias_injection,,,
E2,101,2.0,recall,0.07768924302788845,bias_injection,,,
E2,101,2.0,fpr,0.354,bias_injection,,,
E2,101,2.0,f1,0.0980392156862745,desynchronize_current,,,
E2,101,2.0,precision,0.1650943396226415,desynchronize_current,,,
E2,101,2.0,recall,0.0697211155378486,desynchronize_current,,,
E2,101,2.0,fpr,0.354,desynchronize_current,,,
E2,101,3.0,f1,0.5263157894736842,gaussian_noise,,,
E2,101,3.0,precision,0.4642313546423135,gaussian_noise,,,
E2,101,3.0,recall,0.6075697211155379,gaussian_noise,,,
